Country,Population
Nigeria,216783400
Ethiopia,107334000
Egypt,102060688
DR Congo,95370000
Tanzania,61741120
South Africa,59604992
Kenya,51526000
Uganda,41583600
Sudan,41984500
Algeria,44700000
Morocco,35372615
Angola,34094077
Ghana,30832019
Mozambique,26899105
Madagascar,27190927
Ivory Coast,29389150
Cameroon,24348251
Niger,23196000
Mali,14528662
Burkina Faso,20505155
Malawi,19809511
Zambia,19610769
Chad,15775400
Somalia,12316895
Senegal,18275743
Zimbabwe,15178979
Guinea,13261638
Rwanda,13246394
Benin,12606998
Burundi,13097400
Tunisia,11803588
South Sudan,13249924
Togo,8095498
Sierra Leone,7541641
Libya,6931061
Republic of the Congo,3697490
Central African Republic,6091097
Liberia,4844381
Mauritania,4352037
Eritrea,3815900
Gambia,2417471
Botswana,2346179
Namibia,2641857
Gabon,2349099
Lesotho,2103600
Guinea-Bissau,1781308
Equatorial Guinea,1558160
Mauritius,1261196
Eswatini,1223362
Djibouti,1001454
Comoros,758316
Cape Verde,483628
Western Sahara,579000
São Tomé and Príncipe,210200
Seychelles,100447
Total,1332291870
