Code,Population
AGO,32353588.0
BDI,11874838.0
BEN,12290444.0
BFA,20951639.0
BWA,2499702.0
CAF,5209324.0
CIV,26147551.0
CMR,25782341.0
COD,89906890.0
COG,5570733.0
COM,790986.0
CPV,577030.0
DJI,1073994.0
DZA,42705368.0
EGY,105618671.0
ERI,3498818.0
ETH,114120594.0
GAB,2242785.0
GHA,31522290.0
GIN,12877539.0
GMB,2508883.0
GNB,1970457.0
GNQ,1553031.0
KEN,50951450.0
LBR,4985289.0
LBY,6569088.0
LSO,2225702.0
MAR,36304408.0
MDG,27533134.0
MLI,20567424.0
MOZ,30285595.0
MRT,4383849.0
MUS,1265985.0
MWI,18867337.0
NAM,2446644.0
NER,23443393.0
NGA,203304492.0
RWA,12835028.0
SDN,43232093.0
SEN,16000781.0
SLE,8046828.0
SOM,15981300.0
SSD,10447666.0
STP,214599.0
SWZ,1169613.0
SYC,97625.0
TCD,16126866.0
TGO,8243094.0
TUN,12049314.0
TZA,59872579.0
UGA,42949080.0
ZAF,58087055.0
ZMB,18380477.0
ZWE,15354608.0
